Tama�o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
880,2499.70,7313.40,6459.30,3858.60,799.80,199.90,399.90,400.20
890,2499.50,7160.60,6155.70,3772.40,899.80,199.90,300.00,299.80
900,2252.80,7501.50,7981.40,4033.80,799.60,100.00,299.80,303.50
910,2186.40,7440.10,6509.40,3973.90,860.80,203.70,399.90,400.00
920,2415.90,7662.90,6799.70,4491.20,1000.10,99.70,500.00,399.40
930,2291.30,8231.20,6858.70,4198.70,896.90,199.80,506.20,299.80
940,2513.30,8323.50,7053.70,4352.00,999.70,200.10,499.50,402.40
950,2230.90,8412.00,7051.20,4311.10,804.90,103.50,299.80,299.90
960,2530.30,8394.90,7349.90,4684.00,899.60,199.90,499.80,299.70
970,3074.40,8457.00,7963.60,4838.90,602.90,103.90,226.90,299.90
980,2239.50,8935.80,7688.10,4602.30,999.40,99.90,539.70,299.90
990,2528.10,9405.10,8029.70,4860.50,999.80,199.90,199.90,399.80
1000,2885.40,9245.00,7973.70,4965.70,1000.50,300.30,299.80,400.00
